exp batch.size run start.date start.time iter.date iter.time epoch epoch.total iter iter.total
IAAS-g3s.xlarge 1 2 2022-08-02 18:12:59.710 2022-08-02 18:17:10.850 3 10 10 16
IAAS-g3s.xlarge 1 2 2022-08-02 18:12:59.710 2022-08-02 18:17:13.581 3 10 11 16
IAAS-g3s.xlarge 1 2 2022-08-02 18:12:59.710 2022-08-02 18:17:16.320 3 10 12 16
IAAS-g3s.xlarge 1 2 2022-08-02 18:12:59.710 2022-08-02 18:17:19.043 3 10 13 16
IAAS-g3s.xlarge 1 2 2022-08-02 18:12:59.710 2022-08-02 18:17:21.787 3 10 14 16
IAAS-g3s.xlarge 1 2 2022-08-02 18:12:59.710 2022-08-02 18:17:24.532 3 10 15 16
IAAS-g3s.xlarge 1 2 2022-08-02 18:12:59.710 2022-08-02 18:17:27.273 3 10 16 16
IAAS-g3s.xlarge 1 2 2022-08-02 18:12:59.710 2022-08-02 18:17:31.053 4 10 1 16
IAAS-g3s.xlarge 1 2 2022-08-02 18:12:59.710 2022-08-02 18:17:34.001 4 10 2 16
IAAS-g3s.xlarge 1 2 2022-08-02 18:12:59.710 2022-08-02 18:17:36.641 4 10 3 16
IAAS-g3s.xlarge 1 2 2022-08-02 18:12:59.710 2022-08-02 18:17:39.291 4 10 4 16
IAAS-g3s.xlarge 1 2 2022-08-02 18:12:59.710 2022-08-02 18:17:41.953 4 10 5 16
IAAS-g3s.xlarge 1 2 2022-08-02 18:12:59.710 2022-08-02 18:17:44.689 4 10 6 16
IAAS-g3s.xlarge 1 2 2022-08-02 18:12:59.710 2022-08-02 18:17:47.351 4 10 7 16
IAAS-g3s.xlarge 1 2 2022-08-02 18:12:59.710 2022-08-02 18:17:50.017 4 10 8 16
IAAS-g3s.xlarge 1 2 2022-08-02 18:12:59.710 2022-08-02 18:17:52.734 4 10 9 16
IAAS-g3s.xlarge 1 2 2022-08-02 18:12:59.710 2022-08-02 18:17:55.457 4 10 10 16
IAAS-g3s.xlarge 1 2 2022-08-02 18:12:59.710 2022-08-02 18:17:58.180 4 10 11 16
IAAS-g3s.xlarge 1 2 2022-08-02 18:12:59.710 2022-08-02 18:18:00.936 4 10 12 16
IAAS-g3s.xlarge 1 2 2022-08-02 18:12:59.710 2022-08-02 18:18:03.653 4 10 13 16
IAAS-g3s.xlarge 1 2 2022-08-02 18:12:59.710 2022-08-02 18:18:06.377 4 10 14 16
IAAS-g3s.xlarge 1 2 2022-08-02 18:12:59.710 2022-08-02 18:18:09.114 4 10 15 16
IAAS-g3s.xlarge 1 2 2022-08-02 18:12:59.710 2022-08-02 18:18:11.832 4 10 16 16
IAAS-g3s.xlarge 1 2 2022-08-02 18:12:59.710 2022-08-02 18:18:15.630 5 10 1 16
IAAS-g3s.xlarge 1 2 2022-08-02 18:12:59.710 2022-08-02 18:18:18.298 5 10 2 16
IAAS-g3s.xlarge 1 2 2022-08-02 18:12:59.710 2022-08-02 18:18:20.955 5 10 3 16
IAAS-g3s.xlarge 1 2 2022-08-02 18:12:59.710 2022-08-02 18:18:23.607 5 10 4 16
IAAS-g3s.xlarge 1 2 2022-08-02 18:12:59.710 2022-08-02 18:18:26.334 5 10 5 16
IAAS-g3s.xlarge 1 2 2022-08-02 18:12:59.710 2022-08-02 18:18:28.997 5 10 6 16
IAAS-g3s.xlarge 1 2 2022-08-02 18:12:59.710 2022-08-02 18:18:31.657 5 10 7 16
IAAS-g3s.xlarge 1 2 2022-08-02 18:12:59.710 2022-08-02 18:18:34.317 5 10 8 16
IAAS-g3s.xlarge 1 2 2022-08-02 18:12:59.710 2022-08-02 18:18:37.056 5 10 9 16
IAAS-g3s.xlarge 1 2 2022-08-02 18:12:59.710 2022-08-02 18:18:39.797 5 10 10 16
IAAS-g3s.xlarge 1 2 2022-08-02 18:12:59.710 2022-08-02 18:18:42.538 5 10 11 16
IAAS-g3s.xlarge 1 2 2022-08-02 18:12:59.710 2022-08-02 18:18:45.290 5 10 12 16
IAAS-g3s.xlarge 1 2 2022-08-02 18:12:59.710 2022-08-02 18:18:48.032 5 10 13 16
IAAS-g3s.xlarge 1 2 2022-08-02 18:12:59.710 2022-08-02 18:18:50.769 5 10 14 16
IAAS-g3s.xlarge 1 2 2022-08-02 18:12:59.710 2022-08-02 18:18:53.512 5 10 15 16
IAAS-g3s.xlarge 1 2 2022-08-02 18:12:59.710 2022-08-02 18:18:56.235 5 10 16 16
IAAS-g3s.xlarge 1 2 2022-08-02 18:12:59.710 2022-08-02 18:18:59.852 6 10 1 16
IAAS-g3s.xlarge 1 2 2022-08-02 18:12:59.710 2022-08-02 18:19:02.508 6 10 2 16
IAAS-g3s.xlarge 1 2 2022-08-02 18:12:59.710 2022-08-02 18:19:05.169 6 10 3 16
IAAS-g3s.xlarge 1 2 2022-08-02 18:12:59.710 2022-08-02 18:19:07.902 6 10 4 16
IAAS-g3s.xlarge 1 2 2022-08-02 18:12:59.710 2022-08-02 18:19:10.702 6 10 5 16
IAAS-g3s.xlarge 1 2 2022-08-02 18:12:59.710 2022-08-02 18:19:13.364 6 10 6 16
IAAS-g3s.xlarge 1 2 2022-08-02 18:12:59.710 2022-08-02 18:19:16.009 6 10 7 16
